;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1137;65.000;Ford;Focus;Se 1.6 2015 Flex Automático;86.000;2015;SC;Massaranduba;Vazio
1138;85.900;Toyota;Yaris;Hatch Xls 1.5 At;82.630;2019;SC;Florianópolis;Vazio
1139;58.900;Hyundai;Hb20;Premium 1.6 At;61.460;2015;SC;Florianópolis;Vazio
1140;84.900;Citroën;C4;Cactus Fell 1.6 At;32.257;2019;SC;Florianópolis;Vazio
1141;68.900;Chevrolet;Cobalt;Elite 1.8 At;42.545;2017;SC;Florianópolis;Vazio
1142;84.900;Volkswagen;Saveiro;Robust Cabine Dupla;39.860;2020;SC;Rio do Sul;Vazio
1143;74.900;Jeep;Renegade;Sport 1.8 Mec.;42.966;2016;SC;Gaspar;Vazio
1144;78.900;Nissan;Versa;Sl 1.6 16v Flexstart Aut.;17.000;2020;SC;São José;Vazio
1145;89.900;Volkswagen;Saveiro;Cross 1.6 Flex 16v Cabine Dupla;105.000;2018;SC;São José;Vazio
1146;62.800;Chevrolet;Onix;Lt 1.4 Mt;67.849;2019;SC;Florianópolis;Vazio
1147;59.900;Citroën;C3;Excl. 1.6 Vti Flex Start 16v 5p Aut.;77.785;2017;SC;São José;Vazio
1148;69.900;Renault;Duster;Dynamique 2.0 Hi-flex 16v Mec.;66.756;2016;SC;São José;Vazio
1149;89.900;Volkswagen;Virtus;Confort 200 Tsi 1.0 Flex Aut.;27.972;2019;SC;Gaspar;Vazio
1150;85.900;Volkswagen;Saveiro;Cross Cross Cd 1.6;28.309;2016;SC;Blumenau;Vazio
1151;62.900;Renault;Fluence;Dynamique Plus;62.792;2016;SC;Rio do Sul;Vazio
1152;61.900;Hyundai;Tucson;2.0 16v Flex Aut. Gnv;94.000;2015;SC;São José;Vazio
1153;57.800;Fiat;Mobi;Like 1.0;5.105;2021;SC;Florianópolis;Vazio
1154;78.900;Volkswagen;Saveiro;Rb Mbvs;42.380;2021;SC;Rio do Sul;Vazio
1155;72.900;Volkswagen;Saveiro;Rb Mbvs;70.650;2020;SC;Rio do Sul;Vazio
1156;79.900;Hyundai;Hb20;Hb20 Vision 1.6 Flex 16v Aut;5.000;2020;SC;Ponte do Imaruim - Palhoça;Vazio
1157;88.900;Toyota;Yaris;Sedán Sd Xl Plus At;39.890;2019;SC;Rio do Sul;Vazio
1158;55.800;Renault;Kwid;Zen 1.0 Mt;20.383;2022;SC;Florianópolis;Vazio
1159;68.899;Suzuki;S-cross;Glx 1.6 Cvt;130.000;2016;SC;São José;Vazio
1160;86.899;Volkswagen;Tiguan;2.0 Tsi;79.000;2015;SC;São José;Vazio
1161;69.900;Citroën;C4;Lounge Tendance S 1.6 Thp At;86.076;2018;SC;Florianópolis;Vazio
1162;74.900;Renault;Sandero;Gt Line Flex 1.0 12v;700;2022;SC;São José;Vazio
1163;89.900;Renault;Sandero;Iconic Flex 1.6 16v Aut.;11.417;2022;SC;São José;Vazio
1164;71.900;Fiat;Strada;Hd Wk Cc E;18.810;2020;SC;Rio do Sul;Vazio
1165;78.899;Peugeot;2008;Allure Pack 1.6 At;49.700;2020;SC;São José;Vazio
1166;56.900;Fiat;Argo;Drive 1.0 Mt;91.928;2020;SC;Florianópolis;Vazio
1167;66.900;Hyundai;Hb20;1.6 M Conf;25.094;2019;SC;São José;Vazio
1168;79.900;Volkswagen;Virtus;1.6 Msi At;23.482;2019;SC;Florianópolis;Vazio
1169;83.900;Ford;Ecosport;Fsl At 1.5;28.700;2019;SC;São José;Vazio
1170;67.900;Hyundai;Hb20s;1.0 Comfort;35.485;2019;SC;Palhoça;Vazio
1171;68.900;Chevrolet;Spin;1.8l At Act;75.057;2017;SC;São José;Vazio
1172;79.900;Suzuki;Jimmy;4sport/ 4work 1.3 16v;79.000;2016;SC;São José;Vazio
1173;58.900;Volkswagen;Gol;1.6 L Mb5;61.110;2019;SC;Rio do Sul;Vazio
1174;64.900;Volkswagen;Gol;1.6 L Mb5;20.980;2021;SC;Rio do Sul;Vazio
1175;69.000;Volkswagen;Polo;1.0 Flex 12v;59.700;2019;SC;Florianópolis;Vazio
1176;81.800;Ford;Ecosport;Fsl At 1.5;76.600;2018;SC;Itajaí;Vazio
1177;84.900;Renault;Captur;Zen 1.6 16v Flex 5p Mec.;22.723;2018;SC;São José;Vazio
1178;67.899;Hyundai;Hb20;Comfort 1.6 At;51.000;2019;SC;São José;Vazio
1179;56.899;Volkswagen;Gol;1.0;25.000;2021;SC;São José;Vazio
1180;74.899;Renault;Duster;Expression 1.6;64.870;2019;SC;São José;Vazio
