;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1367;74.500;Chevrolet;Onix;1.4 Lt Aut. 5p;12.000;2019;SP;Vila São Judas Tadeu - Guarulhos;Vazio
1368;59.900;Renault;Kwid;1.0 12v Sce Zen;15.966;2022;SP;Parque Capuava - Santo André;Vazio
1369;64.990;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;66.883;2016;SP;São Paulo Zona Sul;Vazio
1370;79.990;Chevrolet;Cruze;1.4 Lt Turbo Aut. 4p;125.888;2017;SP;Várzea do Tamanduateí - Santo André;Vazio
1371;68.900;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;123.000;2018;SP;Vila Bertioga - São Paulo Zona Leste;Vazio
1372;81.890;Renault;Captur;1.616v Intense Sce X-tronic 5p;78.000;2018;SP;São Miguel Paulista - São Paulo Zona Leste;Vazio
1373;79.900;Ford;Ecosport;2.0 Direct Flex Titanium Automático;31.393;2018;SP;Campinas;Vazio
1374;82.900;Jeep;Renegade;1.8 Sport Flex Aut. 5p;82.237;2018;SP;Vila Marieta - São Paulo Zona Leste;Vazio
1375;55.890;Hyundai;Tucson;2.0 Gls 4x2 Flex Aut. 5p;79.000;2015;SP;Vila Doutor Eiras - São Paulo Zona Leste;Vazio
1376;56.900;Chevrolet;Onix;1.0 Mpfi Lt 8v Flex 4p Manual;38.000;2019;SP;Picanço - Guarulhos;Vazio
1377;61.890;Chevrolet;Onix;1.4 Lt 5p;46.441;2018;SP;Jardim Alzira Franco - Santo André;Vazio
1378;61.900;Hyundai;Hb20x;1.6 Premium Flex Aut. 5p;79.250;2015;SP;São Paulo Zona Norte;Vazio
1379;79.900;Toyota;Corolla;1.8 Gli 16v Flex 4p Automático;117.221;2016;SP;Campinas;Vazio
1380;82.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;65.634;2019;SP;São Paulo;Vazio
1381;71.890;Fiat;Strada;1.6 16v Trekking Cab. Dupla Flex 3p;92.000;2016;SP;Vila Regente Feijó - São Paulo Zona Leste;Vazio
1382;59.900;Citroën;Aircross;1.6 16v Live Flex Aut. 5p;60.000;2017;SP;Freguesia do Ó - São Paulo Zona Norte;Vazio
1383;63.900;Fiat;Strada;1.4 Working Cab. Dupla Flex 3p;164.000;2016;SP;Polvilho - Cajamar;Vazio
1384;76.800;Fiat;Fiorino;Pick Up 1.4 Mpi Furgao Hard Working 8v;36.600;2019;SP;Moóca - São Paulo Zona Leste;Vazio
