;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
399;56.490;Ford;Ka;Se 1.0 12v Flex;80.528;2020;PR;Cascavel;Vazio
400;57.900;Peugeot;2008;Griffe A;163.926;2016;PR;Centro - Londrina;Vazio
401;82.900;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;31.853;2020;PR;Curitiba;Vazio
402;55.900;Hyundai;Hb20;Hb20 Comfort 1.0 Flex 12v Mec.;64.672;2018;PR;Rebouças - Curitiba;Vazio
403;71.900;Chevrolet;Prisma;1.4 Lt 8v Flex Manual;33.420;2019;PR;Centro - Campo Largo;Vazio
404;58.900;Volkswagen;Voyage;Trendline 1.6 Total Flex 4p (novo);57.930;2018;PR;Centro - Campo Largo;Vazio
405;88.900;Volkswagen;Virtus;1.0 200 Tsi Highline Automático;89.799;2018;PR;Rebouças - Curitiba;Vazio
406;61.900;Fiat;Argo;1.0 Firefly Flex Drive Manual;55.019;2019;PR;Curitiba;Vazio
407;69.900;Renault;Sandero;Sport Rs 2.0 Flex 16v 5p;42.655;2019;PR;Rebouças - Curitiba;Vazio
408;74.900;Chevrolet;Prisma;1.4 Mpfi Ltz 8v Flex 4p Manual;24.098;2019;PR;Curitiba;Vazio
409;89.900;Ford;Ecosport;1.5 Tivct Flex Freestyle Manual;19.830;2020;PR;Curitiba;Vazio
410;57.900;Fiat;Argo;1.0 Firefly Flex Drive Manual;60.118;2018;PR;Rebouças - Curitiba;Vazio
411;86.900;Volkswagen;Virtus;1.0 200 Tsi Highline Automático;85.716;2018;PR;Rebouças - Curitiba;Vazio
412;62.900;Chevrolet;Onix;Hatch Activ 1.4 8v Flex 5p Mec;57.369;2017;PR;Rebouças - Curitiba;Vazio
413;82.900;Ford;Ecosport;1.5 Tivct Freestyle Automático;63.202;2018;PR;Rebouças - Curitiba;Vazio
414;64.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v Flex 4p Mec;55.148;2018;PR;Curitiba;Vazio
415;56.900;Ford;Fiesta;Hatch Titanium 1.6 16v Flex Aut.;76.017;2015;PR;Rebouças - Curitiba;Vazio
416;77.900;Renault;Duster;Dynamique 2.0 16v Hi-flex Aut.;28.610;2017;PR;Curitiba;Hyundai Veiculos
417;60.900;Fiat;Uno;Sporting Gsr 1.3 Flex 8v;44.232;2018;PR;Rebouças - Curitiba;Vazio
418;60.900;Hyundai;Hb20s;Hb20 1.6 Comfort Plus;31.239;2018;PR;Curitiba;Vazio
419;60.900;Hyundai;Hb20;Hb20 Unique 1.0 Flex 12v Mec;49.653;2019;PR;Curitiba;Vazio
420;74.900;Chevrolet;Prisma;1.4at Ltz;92.653;2019;PR;Fanny - Curitiba;Vazio
421;76.900;Honda;Fit;Lx 1.5 Flexone Aut;54.541;2016;PR;Rebouças - Curitiba;Vazio
422;71.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v Flex 4p Mec;54.752;2018;PR;Curitiba;Vazio
423;82.900;Jeep;Renegade;Longitude 1.8 Flex Automatico;95.000;2016;PR;Centro - Toledo;Vazio
424;58.900;Chevrolet;Onix;1.0 Mt Lt;66.563;2019;PR;Centro - Campo Largo;Vazio
425;64.900;Hyundai;Hb20;Hb20 Comfort Plus 1.0 Flex 12v Mec.;73.395;2019;PR;Curitiba;Vazio
426;57.900;Volkswagen;Voyage;Tl Mbv;63.278;2018;PR;Centro - Campo Largo;Vazio
427;76.900;Jeep;Renegade;Sport 1.8 Flex Aut;104.210;2016;PR;Rebouças - Curitiba;Vazio
428;84.900;Volkswagen;Polo;Comfort 200 Tsi 1.0 Flex 12v Aut;64.119;2019;PR;Rebouças - Curitiba;Vazio
429;74.900;Volkswagen;Jetta;1.4 16v Tsi Trendline Gasolina 4p Manual;81.550;2016;PR;Rebouças - Curitiba;Vazio
430;77.900;Chevrolet;Cruze;Sport Cruze 1.8 Lt Sport6 16v Flex 4p Automático;87.532;2016;PR;Rebouças - Curitiba;Vazio
431;87.900;Volkswagen;Virtus;1.0 200 Tsi Highline Automático;72.579;2019;PR;Rebouças - Curitiba;Vazio
432;78.900;Jeep;Renegade;Longitude 1.8 Flex Automatico;109.689;2016;PR;Curitiba;Vazio
433;74.900;Volkswagen;Polo;Comfort 200 Tsi 1.0 Flex 12v Aut;73.416;2019;PR;Curitiba;Vazio
434;56.900;Volkswagen;Voyage;Trendline 1.6 Total Flex 4p (novo);90.640;2018;PR;Centro - Campo Largo;Vazio
435;59.900;Volkswagen;Up!;Up Move 1.0 Tsi Total Flex 12v 5p;64.093;2017;PR;Centro - Campo Largo;Vazio
436;89.500;Volkswagen;Saveiro;Cd Cross Ma;52.546;2017;PR;Centro - Campo Largo;Vazio
437;63.900;Renault;Kwid;Outsider 1.0;12.767;2022;PR;Centro - Campo Largo;Vazio
438;83.900;Volkswagen;Polo;Highline 200 Tsi 1.0 Flex 12v Aut;55.268;2019;PR;Curitiba;Vazio
439;57.900;Chevrolet;Onix;10mt Joy;37.355;2019;PR;Centro - Campo Largo;Vazio
440;89.900;Renault;Sandero;Stepway Iconic Flex 1.6 16v Aut.;10.307;2022;PR;Centro - Campo Largo;Vazio
441;62.500;Renault;Kwid;Outsider 1.0;5.124;2021;PR;Centro - Campo Largo;Vazio
442;88.900;Renault;Sandero;Stepway Iconic Flex 1.6 16v Aut.;8.346;2021;PR;Centro - Campo Largo;Vazio
443;63.900;Ford;Ka;Se 1.5 Sd C;44.159;2020;PR;Centro - Campo Largo;Vazio
444;56.500;Renault;Logan;Expression 1.6 Sce;63.194;2019;PR;Centro - Campo Largo;Vazio
445;55.900;Ford;Ka;Se 1.0 Ha C;58.078;2019;PR;Fanny - Curitiba;Vazio
446;73.900;Honda;City;Lx _4p_;74.000;2017;PR;Novo Mundo - Curitiba;Vazio
447;71.900;Fiat;Strada;Adventure Cd;102.392;2015;PR;Fanny - Curitiba;Vazio
448;79.900;Toyota;Corolla;2.0 Vvt-ie Xei Direct Shift Flex;119.000;2015;PR;Fanny - Curitiba;Vazio
449;56.900;Volkswagen;Up!;Up Move Mb;109.940;2016;PR;Fanny - Curitiba;Vazio
450;65.900;Volkswagen;Up!;Up Pepper Mdv;37.000;2018;PR;Novo Mundo - Curitiba;Vazio
