;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
587;83.990;Volkswagen;Virtus;1.0 200 Tsi Comfortline Automático;56.532;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
588;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;56.342;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
589;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;55.645;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
590;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;55.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
591;84.490;Renault;Duster;1.6 16v Sce Flex Dynamique X-tronic;55.664;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
592;88.990;Ford;Ecosport;2.0 Direct Flex Storm 4wd Automático;55.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
593;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;56.342;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
594;58.290;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;56.673;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
595;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;56.373;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
596;65.290;Renault;Sandero;1.6 16v Sce Flex Stepway Zen Manual;55.327;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
597;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;55.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
598;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;53.576;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
599;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;54.675;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
600;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;56.753;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
601;88.990;Chevrolet;Spin;1.8 Activ7 8v Flex 4p Automático;56.634;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
602;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;56.452;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
603;69.790;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;53.521;2019;MG;Liberdade - Belo Horizonte;Localiza Seminovos
604;59.660;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.105;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
605;72.690;Hyundai;Hb20s;1.6 Comfort Plus 16v Flex 4p Automático;52.025;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
606;88.690;Renault;Captur;2.0 16v Hi-flex Intense Automático;50.343;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
607;57.380;Hyundai;Hb20;1.0 12v Flex Sense Manual;50.518;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
608;86.980;Ford;Ecosport;2.0 Direct Flex Titanium Automático;46.000;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
609;88.990;Ford;Ecosport;2.0 Direct Flex Storm 4wd Automático;52.406;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
610;89.590;Jeep;Renegade;1.8 16v Flex Longitude 4p Automático;49.800;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
611;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;50.179;2020;MG;São Benedito - Uberaba;Localiza Seminovos
612;64.490;Chevrolet;Prisma;1.4 Mpfi Lt 8v Flex 4p Manual;60.900;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
613;60.290;Fiat;Argo;1.0 Firefly Flex Drive Manual;69.866;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
614;79.900;Ford;Ecosport;1.5 Ti-vct Flex Se Automático;50.313;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
615;55.390;Ford;Ka;1.0 Ti-vct Flex Se Manual;70.180;2020;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
616;62.690;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;61.981;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
617;70.940;Chevrolet;Cobalt;1.8 Mpfi Ltz 8v Flex 4p Automático;51.307;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
618;62.690;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;59.611;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
619;57.510;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;50.873;2019;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
620;56.700;Renault;Sandero;1.0 12v Sce Flex Zen Manual;55.149;2021;MG;Carlos Prates - Belo Horizonte;Localiza Seminovos
621;77.990;Fiat;Fiorino;1.4 Mpi Furgão Hard Working 8v Flex 2p Manual;56.272;2020;MG;Liberdade - Belo Horizonte;Localiza Seminovos
